Product Name,ProductID,Actual price,Discount price,Stars,Rating,Reviews,Description,Link
Acer Extensa 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) EX215-23 Thin and Ligh...,COMGPWFU8ZYHFNAY,44999.0,30990.0,4.3,231 Ratings,26 Reviews,AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,https://www.flipkart.com/acer-extensa-15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-ex215-23-thin-light-laptop/p/itm40e593d3ea893?pid=COMGPWFU8ZYHFNAY&lid=LSTCOMGPWFU8ZYHFNAYREVGVQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_39_930&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&fm=organic&iid=39385054-70a3-4cc3-ab03-24bfb21713ec.COMGPWFU8ZYHFNAY.SEARCH&ppt=None&ppn=None&ssid=4b9sgavp2o0000001722739957800&qH=312f91285e048e09
HP Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fy5004TU Thin and Light Lapto...,COMGQY48KGHRAF3B,52721.0,42990.0,4.2,"5,540 Ratings",485 Reviews,Intel Core i3 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,https://www.flipkart.com/hp-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-15s-fy5004tu-thin-light-laptop/p/itm02564528377fe?pid=COMGQY48KGHRAF3B&lid=LSTCOMGQY48KGHRAF3BRCYCYH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_39_931&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&fm=organic&iid=en_CIUNn6i3-VpsT4vbOwjYG0APVZl2dySHDM6uzeOmondZc3gtcKzjIcrVwRCw16BR1xaEbIiQEOFKv72o8yU6rA%3D%3D&ppt=None&ppn=None&ssid=4b9sgavp2o0000001722739957800&qH=312f91285e048e09
Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) IN-N15I Thin ...,COMGXXF2QXYGZUH6,44990.0,28129.0,5,3 Ratings,0 Reviews,Intel Core i3 Processor (12th Gen)8 GB LPDDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,https://www.flipkart.com/thomson-neo-core-series-intel-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-in-n15i-thin-light-laptop/p/itm9cac1526e1848?pid=COMGXXF2QXYGZUH6&lid=LSTCOMGXXF2QXYGZUH6SEKKHK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_39_932&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&fm=organic&iid=en_CIUNn6i3-VpsT4vbOwjYG0APVZl2dySHDM6uzeOmoncxVAKVtykvY1NfeUFBphB8BSEgoTjPXYQJJ8ja-SO2OPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4b9sgavp2o0000001722739957800&qH=312f91285e048e09
ASUS Zenbook 14 OLED (2024) Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) UX3405MA-PZ752W...,COMGWZHGNJWHVSZS,140990.0,121990.0,3.2,5 Ratings,1 Reviews,Intel Core Ultra 7 Processor16 GB LPDDR5X RAMWindows 11 Operating System1 TB SSD35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Warranty,https://www.flipkart.com/asus-zenbook-14-oled-2024-intel-core-ultra-7-155h-16-gb-1-tb-ssd-windows-11-home-ux3405ma-pz752ws-thin-light-laptop/p/itm36bde93628279?pid=COMGWZHGNJWHVSZS&lid=LSTCOMGWZHGNJWHVSZSCLTECJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_39_933&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&fm=organic&iid=39385054-70a3-4cc3-ab03-24bfb21713ec.COMGWZHGNJWHVSZS.SEARCH&ppt=None&ppn=None&ssid=4b9sgavp2o0000001722739957800&qH=312f91285e048e09
HP Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy5008TU Thin and Light Lapt...,COMGZ7FRHVADKQ5V,51200.0,36280.0,3.7,21 Ratings,1 Reviews,Intel Core i3 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,https://www.flipkart.com/hp-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-14s-dy5008tu-thin-light-laptop/p/itm9643034ac6cf7?pid=COMGZ7FRHVADKQ5V&lid=LSTCOMGZ7FRHVADKQ5VSRNZLD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_39_934&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&fm=organic&iid=39385054-70a3-4cc3-ab03-24bfb21713ec.COMGZ7FRHVADKQ5V.SEARCH&ppt=None&ppn=None&ssid=4b9sgavp2o0000001722739957800&qH=312f91285e048e09
ASUS VivoBook 14 (2024) Intel Core i5 11th Gen 1135G7 - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X41...,COMGBF3SMFHGDVFX,72990.0,57099.0,4.2,756 Ratings,63 Reviews,Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Home Operating System1 TB HDD|256 GB SSD35.56 cm (14 inch) DisplayOffice Home and Student 20211 Year Onsite Warranty,https://www.flipkart.com/asus-vivobook-14-2024-intel-core-i5-11th-gen-1135g7-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-x415ea-eb572ws-thin-light-laptop/p/itm8115bdd13bfc3?pid=COMGBF3SMFHGDVFX&lid=LSTCOMGBF3SMFHGDVFXHDO1UP&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_39_935&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&fm=organic&iid=39385054-70a3-4cc3-ab03-24bfb21713ec.COMGBF3SMFHGDVFX.SEARCH&ppt=None&ppn=None&ssid=4b9sgavp2o0000001722739957800&qH=312f91285e048e09
ASUS ROG Strix G16 (2024) Intel Core i9 14th Gen 14900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphi...,COMGZW3FDXRBC8FK,239990.0,199990.0,NIL,NIL,NIL,Intel Core i9 Processor (14th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) Display1 Year Onsite warranty,https://www.flipkart.com/asus-rog-strix-g16-2024-intel-core-i9-14th-gen-14900hx-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4070-g614jir-n4062ws-gaming-laptop/p/itmd76c97058faf8?pid=COMGZW3FDXRBC8FK&lid=LSTCOMGZW3FDXRBC8FK569WMI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_39_936&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&fm=organic&iid=39385054-70a3-4cc3-ab03-24bfb21713ec.COMGZW3FDXRBC8FK.SEARCH&ppt=None&ppn=None&ssid=4b9sgavp2o0000001722739957800&qH=312f91285e048e09
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,COMGZW35W3DSJADN,89990.0,54990.0,3.9,7 Ratings,1 Reviews,Intel Core i5 Processor (12th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Warranty Term,https://www.flipkart.com/msi-cyborg-15-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a12ucx-264in-gaming-laptop/p/itm4d9f457aa0efc?pid=COMGZW35W3DSJADN&lid=LSTCOMGZW35W3DSJADNKVPOMQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_40_937&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&fm=organic&iid=en_G7kfVBxBWgTzV28aZrqgIiJUNkoN_6hjHb4haRJ9AAlqobOm52fGEjm9bIpBFAVrsIrvmZDrfSUszxrSxiZ3r_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=2emzx306680000001722739967822&qH=312f91285e048e09
MSI Thin 15 Intel Core i7 12th Gen 12650H - (8 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,COMGZW37ZX66DBHF,83990.0,67990.0,NIL,NIL,NIL,Intel Core i7 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display2 Year Warranty Term,https://www.flipkart.com/msi-thin-15-intel-core-i7-12th-gen-12650h-8-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-2050-b12ucx-1693in-gaming-laptop/p/itma7591f687acd9?pid=COMGZW37ZX66DBHF&lid=LSTCOMGZW37ZX66DBHFGOYMTM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_40_938&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&fm=organic&iid=en_G7kfVBxBWgTzV28aZrqgIiJUNkoN_6hjHb4haRJ9AAm3w3LuW0NoAa5rxde1jIuy4Oob0UolonjoeNBXvw9JmPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=2emzx306680000001722739967822&qH=312f91285e048e09
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDIA GeForce...,COMHY8KVCDNXVZH4,75142.0,56990.0,4.1,139 Ratings,7 Reviews,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,https://www.flipkart.com/hp-victus-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-pro-4-graphics-nvidia-geforce-rtx-2050-15-fa1312tx-gaming-laptop/p/itm4a41c1fe635bf?pid=COMHY8KVCDNXVZH4&lid=LSTCOMHY8KVCDNXVZH4GEPNLP&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_40_939&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&fm=organic&iid=cbe81786-9bbb-444f-a966-521fadac24e1.COMHY8KVCDNXVZH4.SEARCH&ppt=None&ppn=None&ssid=2emzx306680000001722739967822&qH=312f91285e048e09
ASUS TUF A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,COMH2Z6ZDGHD6ZXW,81990.0,71990.0,NIL,NIL,NIL,"AMD Ryzen 5 Hexa Core Processor16 GB DDR5 RAM64 bit Windows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) DisplayWindow 11, MS Office Home and Student 2021, 1 Year McAfee1 Year Onsite Warranty",https://www.flipkart.com/asus-tuf-a15-amd-ryzen-5-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-fa566nc-hn083ws-gaming-laptop/p/itmcc70ee554ea77?pid=COMH2Z6ZDGHD6ZXW&lid=LSTCOMH2Z6ZDGHD6ZXWGD0YGG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_40_940&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&fm=organic&iid=cbe81786-9bbb-444f-a966-521fadac24e1.COMH2Z6ZDGHD6ZXW.SEARCH&ppt=None&ppn=None&ssid=2emzx306680000001722739967822&qH=312f91285e048e09
