Product Name,brand,Discount price,discount_pct(%),Stars,Rating,Reviews,ram_gb,storage_gb,storage_type,processor_brand,processor_tier,processor_generation,is_gaming,premium_brand
HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,HP,39490.0,27.61,4.3,7151.0,559.0,8.0,512.0,SSD,AMD,Mid,0,0,0
ASUS Vivobook 15 (2024) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ953...,ASUS,36990.0,35.09,4.3,3696.0,315.0,8.0,512.0,SSD,Intel,Entry,12,0,0
DELL Inspiron 3520 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,DELL,47490.0,26.5,4.2,443.0,31.0,8.0,512.0,SSD,Intel,Mid,12,0,0
HP 2023 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light L...,HP,36990.0,27.85,4.2,3102.0,221.0,8.0,512.0,SSD,Intel,Entry,12,0,0
Lenovo IdeaPad Slim 1 (2024) AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ACL6 | ...,Lenovo,35990.0,34.67,4.2,4232.0,410.0,8.0,512.0,SSD,AMD,Mid,0,0,0
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Ho...,ASUS,53990.0,28.95,4.3,5330.0,492.0,8.0,512.0,SSD,Intel,Mid,11,1,0
ASUS VivoBook K15 OLED (2024) AMD Ryzen 7 Octa Core AMD R7-5700U - (16 GB/512 GB SSD/Windows 11 Home) ...,ASUS,61500.0,29.3,4.3,1766.0,191.0,16.0,512.0,SSD,AMD,High,0,0,0
Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) IN-N15I Thin ...,Thomson,27490.0,31.26,5.0,3.0,0.0,8.0,256.0,SSD,Intel,Entry,12,0,0
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,MSI,54990.0,38.89,3.9,7.0,1.0,16.0,512.0,SSD,Intel,Mid,12,0,1
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN ...,SAMSUNG,67990.0,17.88,4.5,293.0,32.0,16.0,512.0,SSD,Intel,Mid,13,0,0
HP AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Laptop,HP,30690.0,34.91,4.2,4087.0,376.0,8.0,512.0,SSD,AMD,Entry,0,0,0
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,Acer,28990.0,32.58,4.1,356.0,34.0,8.0,512.0,SSD,Intel,Entry,12,0,0
HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 14-gr0000TU Thin and Light ...,HP,40990.0,24.84,4.6,16.0,2.0,8.0,512.0,SSD,Intel,Entry,13,0,0
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,MSI,51990.0,23.53,4.2,112.0,15.0,8.0,512.0,SSD,Intel,Mid,12,0,1
Thomson NEO Core Series Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) IN-N15I Thin...,Thomson,43770.0,37.46,4.7,3.0,1.0,16.0,512.0,SSD,Intel,High,12,0,0
Lenovo IdeaPad 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Ligh...,Lenovo,34990.0,36.6,4.6,8.0,0.0,8.0,512.0,SSD,Intel,Entry,12,0,0
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin...,MSI,33990.0,45.17,4.3,1885.0,234.0,8.0,512.0,SSD,AMD,Mid,0,0,1
HP Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fy5004TU Thin and Light Lapto...,HP,42990.0,18.46,4.2,5540.0,485.0,16.0,512.0,SSD,Intel,Entry,12,0,0
Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) IN-N15I Thin ...,Thomson,28129.0,37.48,5.0,3.0,0.0,8.0,512.0,SSD,Intel,Entry,12,0,0
HP (15s-fq5007TU) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5327TU Thin a...,HP,38990.0,23.75,4.2,5540.0,485.0,8.0,512.0,SSD,Intel,Entry,12,0,0
